entrez	symbol	description	locus	hprd	hgnc	mim	refpro	refdna	ensembl	type	dominant	recessive	duplicability	origin	degree	mirna	function	expression	chromosome	tstart	tend	type_of_screening	cancer_type
22985	ACIN1	apoptotic chromatin condensation inducer 1	14q11.2	05191	17066	604562	NP_001158287;NP_001158286;NP_001158288;NP_001158289;NP_055792	NM_001164815;NM_001164814;NM_001164816;NM_001164817;NM_014977	ENSP00000451328;ENSP00000405677;ENSP00000345541;ENSP00000350073;ENSP00000262710	candidate	0	0	0	Eukaryotes	14	3	Cell cycle,Cellular processes,DNA/RNA metabolism and transcription,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Signal transduction	62	chr14	23528360	23564495	WGS	prostate
81616	ACSBG2	acyl-CoA synthetase bubblegum family member 2	19p13.3	09824	24174	614363	NP_112186	NM_030924	ENSP00000252669	candidate	0	0	0	Last Universal Common Ancestor	1	0	Cellular metabolism,Development,Multicellular activities	43	chr19	6141555	6190665	WGS	prostate
2181	ACSL3	acyl-CoA synthetase long-chain family member 3	2q34-q35	03845	3570	602371	NP_976251;NP_004448	NM_203372;NM_004457	-	known	1	0	0	Last Universal Common Ancestor	13	4	Cellular metabolism	94	chr2	223773491	223806369	CGC	prostate
51703	ACSL5	acyl-CoA synthetase long-chain family member 5	10q25.1-q25.2	16139	16526	605677	NP_976313;NP_057318;NP_976314	NM_203379;NM_016234;NM_203380	ENSP00000348429;ENSP00000346680;ENSP00000376796	candidate	0	0	0	Last Universal Common Ancestor	2	6	Cellular metabolism	83	chr10	114136068	114187113	WES	colorectal
23305	ACSL6	acyl-CoA synthetase long-chain family member 6	5q31	09190	16496	604443	NP_001192177;NP_001192180;NP_001192179;NP_056071;NP_001192176;NP_001009185	NM_001205248;NM_001205251;NM_001205250;NM_015256;NM_001205247;NM_001009185	ENSP00000368566	known	1	0	0	Last Universal Common Ancestor	0	1	Cell cycle,Cellular metabolism,Development	93	chr5	131289930	131347246	CGC	leukemia
116285	ACSM1	acyl-CoA synthetase medium-chain family member 1	16p12.3	12551	18049	614357	NP_443188	NM_052956	ENSP00000301956	candidate	0	0	0	Last Universal Common Ancestor	0	1	Cellular metabolism	2	chr16	20634811	20702510	WES	pancreas
60	ACTB	actin, beta	7p22	00032	132	102630	NP_001092	NM_001101	ENSP00000349960	candidate	0	0	39	Last Universal Common Ancestor	146	2	Cell response to stimuli	109	chr7	5567382	5569288	WES	lymphoma
91	ACVR1B	activin A receptor, type IB	12q13	03193	172	601300	NP_064733;NP_064732;NP_004293	NM_020328;NM_020327;NM_004302	ENSP00000257963	candidate	0	0	0	Last Universal Common Ancestor	32	6	Cell cycle,Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	100	chr12	52345528	52387891	HTMS,WES	breast,lung,ovarian,pancreas,prostate,colorectal (non-hypermutated)
92	ACVR2A	activin A receptor, type IIA	2q22.3	00025	173	102581	NP_001607	NM_001616	ENSP00000241416	candidate	0	0	0	Last Universal Common Ancestor	23	5	Cellular metabolism,Cellular processes,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Signal transduction	95	chr2	148602722	148684840	WES	colorectal (hypermutated),gastric
102	ADAM10	ADAM metallopeptidase domain 10	15q2|15q22	03723	188	602192	NP_001101	NM_001110	-	candidate	0	0	0	Eukaryotes	4	2	Cell motility and interactions,Cellular metabolism,Cellular processes,Development,Regulation of intracellular processes and metabolism,Signal transduction	65	chr15	58889749	59041733	WES	lymphoma
8038	ADAM12	ADAM metallopeptidase domain 12	10q26.3	04092	190	602714	NP_003465;NP_067673	NM_003474;NM_021641	ENSP00000357665	candidate	0	0	0	Last Universal Common Ancestor	32	4	Cell cycle,Cellular metabolism,Cellular processes,Development	60	chr10	127705851	128076714	WES	breast
8749	ADAM18	ADAM metallopeptidase domain 18	8p11.22	07469	196	-	NP_001177885;NP_055052	NM_001190956;NM_014237	ENSP00000429908;ENSP00000265707	candidate	0	0	0	Eukaryotes	39	1	Cellular metabolism,Development,Multicellular activities	27	chr8	39442142	39581427	WGS	prostate
8728	ADAM19	ADAM metallopeptidase domain 19	5q33.3	04704	197	603640	NP_150377	NM_023038;NM_033274	ENSP00000257527	candidate	0	0	0	Last Universal Common Ancestor	15	0	Cellular metabolism	77	chr5	156907960	157002704	WES	colorectal
2515	ADAM2	ADAM metallopeptidase domain 2	8p11.2	03322	198	601533	NP_001455	NM_001464	ENSP00000265708	candidate	0	0	0	Eukaryotes	4	1	Cellular metabolism,Cellular processes,Development	11	chr8	39603990	39695704	WES	chronic lymphocytic leukemia
53616	ADAM22	ADAM metallopeptidase domain 22	7q21	04751	201	603709	NP_057435;NP_068369;NP_068368;NP_004185;NP_068367	NM_016351;NM_021723;NM_021722;NM_004194;NM_021721	ENSP00000381260;ENSP00000381262;ENSP00000381267	candidate	0	0	0	Eukaryotes	9	0	Cell motility and interactions,Cellular metabolism,Development,Regulation of intracellular processes and metabolism	52	chr7	87563781	87822554	WGS	liver
11086	ADAM29	ADAM metallopeptidase domain 29	4q34	05306	207	604778	NP_001124176;NP_055084;NP_001124175;NP_001124177	NM_001130704;NM_014269;NM_001130703;NM_001130705	ENSP00000414544;ENSP00000384229;ENSP00000423517;ENSP00000352177	candidate	0	0	0	Eukaryotes	238	1	Cellular metabolism,Development,Multicellular activities	12	chr4	175896677	175899136	WES,WGS	colorectal,melanoma
8756	ADAM7	ADAM metallopeptidase domain 7	8p21.2	07391	214	607310	NP_003808	NM_003817	ENSP00000175238	candidate	0	0	0	Eukaryotes	3	0	Cellular metabolism	21	chr8	24298622	24365046	WES	melanoma
101	ADAM8	ADAM metallopeptidase domain 8	10q26.3	03777	215	602267	NP_001100;NP_001157962;NP_001157961	NM_001109;NM_001164490;NM_001164489	ENSP00000453302;ENSP00000453855;ENSP00000453043	candidate	0	0	0	Eukaryotes	2	1	Cellular metabolism	23	chr10	135076663	135089092	WGS	glioblastoma
9510	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1	21q21.2	05530	217	605174	NP_008919	NM_006988	ENSP00000284984	candidate	0	0	0	Eukaryotes	24	5	Cell cycle,Cellular metabolism,Regulation of intracellular processes and metabolism,Signal transduction	81	chr21	28209901	28217273	WGS	lung
81794	ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif, 10	19p13.2	07470	13201	608990	NP_112219	NM_030957	ENSP00000471851	candidate	0	0	0	Eukaryotes	10	0	Cellular metabolism,Signal transduction	-1	chr19	8645780	8670595	WGS	lymphoma
81792	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif, 12	5q35	05862	14605	606184	NP_112217	NM_030955	ENSP00000344847	candidate	0	0	0	Last Universal Common Ancestor	0	2	Cellular metabolism	71	chr5	33527296	33891961	WES	head and neck squamous cell carcinoma
11093	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif, 13	9q34	04994	1366	604134	NP_620595;NP_620596;NP_620594	NM_139028;NM_139026;NM_139027;NR_024514;NM_139025	ENSP00000360997;ENSP00000348997;ENSP00000347927	candidate	0	0	0	Eukaryotes	10	0	Cell motility and interactions,Cellular metabolism,Cellular processes,Multicellular activities,Signal transduction	21	chr9	136287564	136324299	WGS	melanoma
170692	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif, 18	16q23	06333	17110	607512	NP_955387	NM_139054;NM_199355	ENSP00000282849	candidate	0	0	0	Last Universal Common Ancestor	0	0	Cellular metabolism	-1	chr16	77317856	77468592	WES	colorectal
80070	ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif, 20	12q12	-	17178	611681	NP_079279	NM_025003;NM_175851	ENSP00000374071	candidate	0	0	0	Last Universal Common Ancestor	1	0	Cellular metabolism	22	chr12	43748015	43945724	WES	colorectal,pancreas
57188	ADAMTSL3	ADAMTS-like 3	15q25.2	12426	14633	609199	NP_997400	NM_207517	ENSP00000286744	candidate	0	0	0	Eukaryotes	0	0	-1	65	chr15	84324514	84706555	WES	colorectal,lymphoma
105	ADARB2	adenosine deaminase, RNA-specific, B2	10p15.3	09070	227	602065	NP_061172	NM_018702	-	candidate	0	0	0	Eukaryotes	1	0	DNA/RNA metabolism and transcription,Regulation of transcription	27	chr10	1229136	1779344	WES	colorectal
107	ADCY1	adenylate cyclase 1 (brain)	7p13-p12	00053	232	103072	NP_066939	NM_021116	ENSP00000297323	candidate	0	0	0	Last Universal Common Ancestor	2	0	Cellular metabolism,DNA/RNA metabolism and transcription,Signal transduction	63	chr7	45614143	45753591	WES	lung
108	ADCY2	adenylate cyclase 2 (brain)	5p15.3	00052	233	103071	NP_065433	NM_020546	ENSP00000342952	candidate	0	0	0	Last Universal Common Ancestor	3	0	Cellular metabolism,DNA/RNA metabolism and transcription,Signal transduction	73	chr5	7396410	7826981	WGS	lung
109	ADCY3	adenylate cyclase 3	2p23.3	02620	234	600291	NP_004027	NM_004036	ENSP00000260600	candidate	0	0	0	Last Universal Common Ancestor	3	3	Cell cycle,Cell response to stimuli,Cellular metabolism,DNA/RNA metabolism and transcription,Signal transduction	97	chr2	25042804	25141856	WGS	breast
114	ADCY8	adenylate cyclase 8 (brain)	8q24	00051	239	103070	NP_001106	NM_001115	ENSP00000367161	candidate	0	0	0	Last Universal Common Ancestor	4	0	Cellular metabolism,DNA/RNA metabolism and transcription,Signal transduction	9	chr8	131792639	132052579	WES,WGS	head and neck squamous cell carcinoma,lung
148	ADRA1A	adrenergic, alpha-1A-, receptor	8p21.2	00081	277	104221	NP_000671;NP_150647;NP_150646;NP_150645	NM_000680;NM_033304;NM_033303;NM_033302	ENSP00000276393;ENSP00000369956;ENSP00000369960;ENSP00000346557	candidate	0	0	0	Metazoans	12	0	Cell cycle,Multicellular activities,Regulation of intracellular processes and metabolism,Signal transduction	60	chr8	26627783	26722486	WGS	melanoma
152	ADRA2C	adrenergic, alpha-2C-, receptor	4p16	00085	283	104250	NP_000674	NM_000683	ENSP00000386069	candidate	0	0	0	Metazoans	5	0	Cellular metabolism,Cellular processes,Regulation of intracellular processes and metabolism,Signal transduction	14	chr4	3768334	3769719	WGS	melanoma
4299	AFF1	AF4/FMR2 family, member 1	4q21	08871	7135	159557	NP_001160165;NP_005926	NM_001166693;NM_005935	ENSP00000378578;ENSP00000305689	known	1	0	0	Eukaryotes	30	1	-1	108	chr4	87967313	88056850	CGC	leukemia
2334	AFF2	AF4/FMR2 family, member 2	Xq28	02397	3776	300806	NP_001162594;NP_001162595;NP_001164099;NP_002016;NP_001162596;NP_001162593	NM_001169123;NM_001169124;NM_001170628;NM_002025;NM_001169125;NM_001169122	ENSP00000359486;ENSP00000286437;ENSP00000359489	candidate	0	0	0	Metazoans	4	0	Development	83	chrX	147582618	148072859	WES	breast
3899	AFF3	AF4/FMR2 family, member 3	2q11.2-q12	03272	6473	601464	NP_001020279;NP_002276	NM_001025108;NM_002285	ENSP00000348793;ENSP00000317421	known	1	0	0	Metazoans	1	0	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	4	chr2	100167939	100720916	CGC	leukemia
27125	AFF4	AF4/FMR2 family, member 4	5q31	09187	17869	604417	NP_055238	NM_014423	ENSP00000265343	known	1	0	0	Metazoans	27	8	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	25	chr5	132216754	132272881	CGC	leukemia
116986	AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	12q14.1	05687	16921	605476	NP_001116244;NP_055585	NM_001122772;NM_014770	ENSP00000257897	candidate	0	0	0	Eukaryotes	10	0	Cellular processes,Regulation of intracellular processes and metabolism,Signal transduction	40	chr12	58120338	58132029	WES	breast
3267	AGFG1	ArfGAP with FG repeats 1	2q36.3	02918	5175	600862	NP_001128661;NP_004495;NP_001128659;NP_001128660	NM_001135189;NM_004504;NM_001135187;NM_001135188	-	candidate	0	0	0	Eukaryotes	14	4	Cellular processes,DNA/RNA metabolism and transcription,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Signal transduction	103	chr2	228337138	228419208	WGS	melanoma
392636	AGMO	alkylglycerol monooxygenase	7p21.2	13362	33784	613738	NP_001004320	NM_001004320	ENSP00000341662	candidate	0	0	0	Last Universal Common Ancestor	0	0	-1	-1	chr7	15240913	15601470	WGS	liver
85007	AGXT2L2	alanine-glyoxylate aminotransferase 2-like 2	5q35.3	18482	28249	-	NP_699204	NM_153373;NM_032921	ENSP00000310978	candidate	0	0	0	Last Universal Common Ancestor	1	0	-1	-1	chr5	177638925	177659551	WGS	chronic lymphocytic leukemia
79026	AHNAK	AHNAK nucleoprotein	11q12.2	14684	347	103390	NP_001611;NP_076965	NM_001620;NM_024060	ENSP00000367263;ENSP00000257247	candidate	0	0	0	Last Universal Common Ancestor	29	2	Development	97	chr11	62284219	62303570	WES	kidney
113146	AHNAK2	AHNAK nucleoprotein 2	14q32.33	-	20125	608570	NP_612429	NM_138420	ENSP00000353114	candidate	0	0	0	Last Universal Common Ancestor	3	7	Development	49	chr14	105404403	105444574	WGS	melanoma
202	AIM1	absent in melanoma 1	6q21	18576	356	601797	NP_001615	NM_001624	ENSP00000358062	candidate	0	0	0	Last Universal Common Ancestor	2	5	-1	94	chr6	106960217	107016438	WES	breast
204	AK2	adenylate kinase 2	1p34	00047	362	103020	NP_001616;NP_037543;NP_001186128	NR_037592;NM_001625;NM_013411;NR_037591;NM_001199199	ENSP00000362548	candidate	0	0	1	Last Universal Common Ancestor	25	7	-1	107	chr1	33478785	33502429	WGS	chronic lymphocytic leukemia
11215	AKAP11	A kinase (PRKA) anchor protein 11	13q14.11	05261	369	604696	NP_057332	NM_016248;NM_144490	ENSP00000025301	candidate	0	0	0	Vertebrates	25	13	Signal transduction	103	chr13	42860485	42893361	WES	pancreas
9590	AKAP12	A kinase (PRKA) anchor protein 12	6q24-q25	05263	370	604698	NP_653080;NP_005091	NM_144497;NM_005100	ENSP00000384537	candidate	0	0	0	Last Universal Common Ancestor	10	4	Cellular processes,Signal transduction	92	chr6	151561698	151674872	WES	colorectal
11214	AKAP13	A kinase (PRKA) anchor protein 13	15q24-q25	05253	371	604686	NP_658913;NP_009131;NP_006729	NM_144767;NM_007200;NM_006738	ENSP00000378026	candidate	0	0	0	Eukaryotes	8	1	Signal transduction	102	chr15	86064659	86287905	WES,WGS	kidney,pancreas,liver
9472	AKAP6	A kinase (PRKA) anchor protein 6	14q12	05257	376	604691	NP_004265	NM_004274	ENSP00000280979	candidate	0	0	0	Eukaryotes	17	0	Cellular processes	86	chr14	32902700	33293976	WES	chronic lymphocytic leukemia,colorectal
10270	AKAP8	A kinase (PRKA) anchor protein 8	19p13.1	05258	378	604692	NP_005849	NM_005858	ENSP00000269701	candidate	0	0	0	Vertebrates	15	4	Cell cycle,DNA/RNA metabolism and transcription,Signal transduction	68	chr19	15465729	15487826	WES	lymphoma
10142	AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	7q21-q22	04921	379	604001	NP_005742;NP_671714	NM_147171;NM_005751;NM_147185;NM_147166	ENSP00000348573	known	1	0	0	Last Universal Common Ancestor	39	2	Multicellular activities,Signal transduction	77	chr7	91570414	91737949	CGC,HTMS	thyroid,breast,lung,ovarian,pancreas,prostate
57016	AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase)	7q33	05271	382	604707	NP_064695	NM_020299	ENSP00000352584	candidate	0	0	2	Last Universal Common Ancestor	49	5	Cellular metabolism	40	chr7	134212664	134223770	WES	melanoma
207	AKT1	v-akt murine thymoma viral oncogene homolog 1	14q32.32|14q32.32	01261	391	164730	NP_001014432;NP_001014431;NP_005154	NM_001014432;NM_001014431;NM_005163	ENSP00000384293;ENSP00000270202;ENSP00000450688	known	1	0	2	Last Universal Common Ancestor	65	11	Cell cycle,Cell response to stimuli,Cellular metabolism,Cellular processes,Development,Immune system response,Multicellular activities,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	90	chr14	105236681	105258980	CGC,HTMS,WES	breast,colorectal,lung,ovarian,pancreas,prostate
208	AKT2	v-akt murine thymoma viral oncogene homolog 2	19q13.1-q13.2	01262	392	164731	NP_001229956;NP_001229957;NP_001617	NM_001243027;NM_001243028;NM_001626	ENSP00000375892	known	1	0	1	Last Universal Common Ancestor	20	5	Cellular metabolism,Cellular processes	21	chr19	40739782	40771174	CGC,WES,Amplified	ovarian,pancreas,breast
10000	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	1q44	06441	393	611223	NP_001193658;NP_005456;NP_859029	NM_001206729;NM_005465;NM_181690	ENSP00000355498;ENSP00000336943	known	0	0	1	Last Universal Common Ancestor	5	8	Cellular metabolism,Cellular processes,Signal transduction	97	chr1	243668554	244006472	CGC,Amplified	
64400	AKTIP	AKT interacting protein	16q12.2	07467	16710	608483	NP_071921;NP_001012398	NM_022476;NM_001012398	ENSP00000378152	candidate	0	0	1	Eukaryotes	57	0	Cellular metabolism,Cellular processes,Regulation of intracellular processes and metabolism	57	chr16	53526327	53534171	WGS	prostate
213	ALB	albumin	4q13.3	00062	399	103600	NP_000468	NM_000477	ENSP00000295897	candidate	0	0	0	Vertebrates	168	0	Cell cycle,Cell motility and interactions,Cell response to stimuli,Cellular processes,Development,Other,Regulation of intracellular processes and metabolism	35	chr4	74270045	74286012	WGS	liver
217	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	12q24.2	00003	404	100650	NP_001191818;NP_000681	NM_001204889;NM_000690	ENSP00000261733;ENSP00000403349	known	1	0	1	Last Universal Common Ancestor	13	5	Signal transduction	102	chr12	112204787	112241786	CGC	leiomyoma
238	ALK	anaplastic lymphoma receptor tyrosine kinase	2p23	00104	427	105590	NP_004295	NM_004304	ENSP00000373700	known	1	0	0	Last Universal Common Ancestor	58	1	Cellular metabolism,Cellular processes,Development,Signal transduction	37	chr2	29416093	30143525	CGC,WES	lung,lymphoma,neuroblastoma,colorectal
55821	ALLC	allantoicase	2q35	10642	17377	612396	NP_060906	NM_018436;NM_199232	ENSP00000252505	candidate	0	0	0	Last Universal Common Ancestor	35	0	-1	17	chr2	3721665	3750150	WES	head and neck squamous cell carcinoma
7840	ALMS1	Alstrom syndrome 1	2p13	06023	428	606844	NP_055935	NM_015120	ENSP00000264448	candidate	0	0	0	Metazoans	3	3	Cell response to stimuli	102	chr2	73613033	73836736	WES	pancreas
239	ALOX12	arachidonate 12-lipoxygenase	17p13.1	01066	429	152391	NP_000688	NM_000697	ENSP00000251535	candidate	0	0	0	Last Universal Common Ancestor	13	0	Cell cycle,Cell motility and interactions,Cellular metabolism,Cellular processes,Development,Regulation of intracellular processes and metabolism	18	chr17	6899437	6913739	WES,WGS	myeloma
247	ALOX15B	arachidonate 15-lipoxygenase, type B	17p13.1	04739	434	603697	NP_001034219;NP_001132;NP_001034220	NM_001039130;NM_001141;NM_001039131	ENSP00000369520;ENSP00000369530	candidate	0	0	0	Last Universal Common Ancestor	1	0	Cell cycle,Cell motility and interactions,Cellular metabolism,Development,Regulation of intracellular processes and metabolism	52	chr17	7942474	7951880	WGS	prostate
