ENSG	SYM	oncodriveROLE	Value
ENSG00000163930	BAP1	Loss of function	0.0015
ENSG00000163939	PBRM1	Loss of function	0.001
ENSG00000164736	SOX17	Activating	0.8735
ENSG00000164754	RAD21	Loss of function	0.2865
ENSG00000165458	INPPL1	Loss of function	0.103
ENSG00000165671	NSD1	Loss of function	0.0015
ENSG00000165699	TSC1	Loss of function	0
ENSG00000166710	B2M	Loss of function	0.032
ENSG00000167258	CDK12	Loss of function	0.096
ENSG00000167548	MLL2	Loss of function	0.0125
ENSG00000168036	CTNNB1	Activating	0.985
ENSG00000168646	AXIN2	Loss of function	0.261
ENSG00000168769	TET2	Loss of function	0.012
ENSG00000169032	MAP2K1	Activating	0.979
ENSG00000169564	PCBP1	No class	NA
ENSG00000169919	GUSB	Loss of function	0.2345
ENSG00000170836	PPM1D	Loss of function	0.0995
ENSG00000171094	ALK	Activating	0.973
ENSG00000171456	ASXL1	Loss of function	0.1095
ENSG00000171862	PTEN	Loss of function	0.0055
ENSG00000174197	MGA	Loss of function	0.033
ENSG00000174775	HRAS	Activating	0.915
ENSG00000175387	SMAD2	Loss of function	0
ENSG00000177565	TBL1XR1	Loss of function	0.1265
ENSG00000179295	PTPN11	Activating	0.961
ENSG00000181163	NPM1	Loss of function	0.0405
ENSG00000181555	SETD2	Loss of function	0
ENSG00000182054	IDH2	Activating	0.9925
ENSG00000182872	RBM10	Loss of function	0.0965
ENSG00000183337	BCOR	Loss of function	0.0175
ENSG00000184634	MED12	Activating	0.932
ENSG00000184937	WT1	Loss of function	0.067
ENSG00000189079	ARID2	Loss of function	0.022
ENSG00000196712	NF1	Loss of function	0
ENSG00000198793	MTOR	Activating	0.957
ENSG00000206503	HLA-A	Loss of function	5e-04
ENSG00000213281	NRAS	Activating	0.9975
ENSG00000215301	DDX3X	Loss of function	0.143
ENSG00000234745	HLA-B	Loss of function	0.071
ENSG00000245848	CEBPA	Loss of function	0.1255
ENSG00000257923	CUX1	No class	0.45
