entrez	symbol	description	locus	hprd	hgnc	mim	refpro	refdna	ensembl	type	dominant	recessive	duplicability	origin	degree	mirna	function	expression	chromosome	tstart	tend	type_of_screening	cancer_type
1019	CDK4	cyclin-dependent kinase 4	12q14	00447	1773	123829	NP_000066	NM_000075;NM_052984	-	cgc	1	0	0	Last Universal Common Ancestor	150	13	Cell cycle,Cellular metabolism,Cellular processes,Regulation of intracellular processes and metabolism,Regulation of transcription	107	chr12	58142311	58145500	Amplified,CGC,WES	glioblastoma
1021	CDK6	cyclin-dependent kinase 6	7q21-q22	04533	1777	603368	NP_001138778;NP_001250	NM_001145306;NM_001259	ENSP00000265734	cgc	1	0	0	Last Universal Common Ancestor	108	28	Cell cycle,Cell motility and interactions,Cellular metabolism,Cellular processes,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Regulation of transcription	5	chr7	92244457	92462637	Amplified,CGC	leukemia
9557	CHD1L	chromodomain helicase DNA binding protein 1-like	1q12	09880	1916	613039	NP_004275;NP_078844;NP_001243266;NP_001243265;NP_001243267	NM_004284;NM_024568;NM_001256337;NR_046070;NM_001256336;NM_001256338	ENSP00000355100;ENSP00000358263;ENSP00000358262	cgc	0	0	0	Last Universal Common Ancestor	36	0	-1	109	chr1	146714354	146767187	Amplified,CGC	
1163	CKS1B	CDC28 protein kinase regulatory subunit 1B	1q21.2	00299	19083	116900	NP_001817	NM_001826;NR_024163	ENSP00000311083	cgc	0	0	8	Eukaryotes	30	0	Cell cycle,Regulation of intracellular processes and metabolism,Signal transduction	88	chr5	61808073	61808309	Amplified,CGC	
8533	COPS3	COP9 constitutive photomorphogenic homolog subunit 3 (Arabidopsis)	17p11.2	07262	2239	604665	NP_003644;NP_001186054	NM_003653;NM_001199125	ENSP00000437606;ENSP00000268717	cgc	0	0	0	Eukaryotes	72	3	Cell response to stimuli,Development,Signal transduction	98	chr17	17150415	17184500	Amplified,CGC	
54165	DCUN1D1	DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae)	3q26.3	12067	18184	605905	NP_065691	NM_020640	-	cgc	0	0	2	Eukaryotes	219	2	-1	90	chr3	182662885	182683541	Amplified,CGC	
8445	DYRK2	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	12q15	04606	3093	603496	NP_006473;NP_003574	NM_006482;NM_003583	-	cgc	0	0	0	Last Universal Common Ancestor	115	4	Cell cycle,Cellular metabolism,Cellular processes,Development,Regulation of intracellular processes and metabolism,Signal transduction	54	chr12	68042914	68052490	Amplified,CGC	
1871	E2F3	E2F transcription factor 3	6p22	02693	3115	600427	NP_001940;NP_001230005	NM_001949;NM_001243076	ENSP00000443418;ENSP00000262904	cgc	0	0	1	Eukaryotes	36	15	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	75	chr6	20402464	20490658	Amplified,CGC	
1917	EEF1A2	eukaryotic translation elongation factor 1 alpha 2	20q13.3	04265	3192	602959	NP_001949	NM_001958	ENSP00000217182	cgc	0	0	24	Last Universal Common Ancestor	58	3	Cell cycle,Cellular metabolism,Development,Regulation of intracellular processes and metabolism,Regulation of transcription	57	chr20	62119654	62129116	Amplified,CGC	
1956	EGFR	epidermal growth factor receptor	7p12	00579	3236	131550	NP_958439;NP_958441;NP_005219;NP_958440	NM_201282;NM_201284;NM_005228;NM_201283	ENSP00000342376;ENSP00000413843;ENSP00000345973	cgc	1	0	0	Last Universal Common Ancestor	483	21	Cell cycle,Cell motility and interactions,Cellular metabolism,Cellular processes,Development,Regulation of intracellular processes and metabolism,Signal transduction	94	chr7	55086971	55273307	Amplified,CGC,HTMS,WES	breast,glioblastoma,glioma,lung,ovarian,pancreas,prostate
56648	EIF5A2	eukaryotic translation initiation factor 5A2	3q26.2	10426	3301	605782	NP_065123	NM_020390	ENSP00000295822	cgc	0	0	4	Last Universal Common Ancestor	29	4	Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Regulation of transcription	13	chr3	170611152	170625595	Amplified,CGC	
2064	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	17q11.2-q12|17q21.1	01281	3430	164870	NP_001005862;NP_004439	NM_001005862;NM_004448	ENSP00000385185;ENSP00000269571	cgc	1	0	0	Last Universal Common Ancestor	106	15	Cell cycle,Cell motility and interactions,Cellular metabolism,Cellular processes,Development,Immune system response,Multicellular activities,Regulation of intracellular processes and metabolism,Signal transduction	71	chr17	37856492	37884294	Amplified,CGC,HTMS,WES,WGS	breast,gastric,glioblastoma,lung,other,ovarian
2115	ETV1	ets variant 1	7p21.3	02765	3490	600541	NP_001156624;NP_001156623;NP_001156621;NP_001156620;NP_001156622;NP_004947;NP_001156619	NM_001163152;NM_001163151;NM_001163149;NM_001163148;NM_001163150;NM_004956;NM_001163147	ENSP00000242066;ENSP00000340853;ENSP00000411626;ENSP00000382293;ENSP00000405327	cgc	1	0	0	Metazoans	22	1	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	89	chr7	13935494	14028677	Amplified,CGC	prostate,sarcoma
8772	FADD	Fas (TNFRSF6)-associated via death domain	11q13.3	03909	3573	602457	NP_003815	NM_003824	ENSP00000301838	cgc	0	0	0	Metazoans	66	6	Cell cycle,Development,Regulation of intracellular processes and metabolism,Signal transduction	32	chr11	70049566	70052576	Amplified,CGC	
2260	FGFR1	fibroblast growth factor receptor 1	8p12	00634	3688	136350	NP_075594;NP_056934;NP_001167534;NP_001167535;NP_075598;NP_001167536;NP_075593;NP_001167537;NP_001167538	NM_023106;NM_015850;NM_001174063;NM_001174064;NM_023110;NM_001174065;NM_023111;NM_023105;NM_001174066;NM_023107;NM_001174067;NM_023108;NM_032191;NM_023109	ENSP00000432972;ENSP00000393312;ENSP00000380280;ENSP00000400162	cgc	1	0	0	Last Universal Common Ancestor	60	7	Cell cycle,Cellular metabolism,Cellular processes,Development,Signal transduction	97	chr8	38271149	38315054	Amplified,CGC	myeloma,non-hodgkin lymphoma
2627	GATA6	GATA binding protein 6	18q11.1-q11.2	09043	4174	601656	NP_005248	NM_005257	ENSP00000269216	cgc	0	0	0	Eukaryotes	11	16	Cellular metabolism,DNA/RNA metabolism and transcription,Development,Regulation of intracellular processes and metabolism,Regulation of transcription	30	chr18	19751106	19780783	Amplified,CGC	
2262	GPC5	glypican 5	13q32	03902	4453	602446	NP_004457	NM_004466	ENSP00000366267	cgc	0	0	0	Metazoans	1	0	-1	19	chr13	92051301	92797241	Amplified,CGC	
2886	GRB7	growth factor receptor-bound protein 7	17q12	03311	4567	601522	NP_001229372;NP_001229371;NP_001025173;NP_005301	NM_001242443;NM_001242442;NM_001030002;NM_005310	ENSP00000377761;ENSP00000403459;ENSP00000377759;ENSP00000310771	cgc	0	0	0	Eukaryotes	61	2	Signal transduction	53	chr17	37898501	37903147	Amplified,CGC	
9798	IST1	increased sodium tolerance 1 homolog (yeast)	16q22.2	13784	28977	-	NP_055576	NM_014761	-	cgc	0	0	1	Eukaryotes	17	2	-1	101	chr16	71949544	71961699	Amplified,CGC	
3725	JUN	jun proto-oncogene	1p32-p31	01302	6204	165160	NP_002219	NM_002228	ENSP00000360266	cgc	1	0	0	Opisthokonts	56	7	Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Development,Regulation of intracellular processes and metabolism,Regulation of transcription	106	chr1	59247750	59248742	Amplified,CGC	sarcoma
3815	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	4q11-q12	01287	6342	164920	NP_000213;NP_001087241	NM_000222;NM_001093772	ENSP00000288135	cgc	1	0	0	Last Universal Common Ancestor	73	5	Cell cycle,Cellular metabolism,Cellular processes,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Signal transduction	71	chr4	55524182	55604720	Amplified,CGC,HTMS	gastric,leukemia,mastocytosis,melanoma,sarcoma,testis
3845	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	12p12.1	01817	6407	190070	NP_203524;NP_004976	NM_033360;NM_004985	ENSP00000308495	cgc	1	0	2	Last Universal Common Ancestor	40	14	Cell cycle,Cell response to stimuli,Cellular processes,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Signal transduction	106	chr12	25368378	25398318	Amplified,CGC,HTMS,WES,WGS	bladder,breast,cholangiocarcinoma,colorectal,colorectal (non-hypermutated),leukemia,lung,myelodysplasia,myeloma,other,ovarian,pancreas,prostate,thyroid
27257	LSM1	LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae)	8p11.2	06281	20472	607281	NP_055277	NR_045493;NM_014462;NR_045492	ENSP00000310596	cgc	0	0	0	Eukaryotes	18	2	DNA/RNA metabolism and transcription,Regulation of transcription	79	chr8	38021191	38033838	Amplified,CGC	
4217	MAP3K5	mitogen-activated protein kinase kinase kinase 5	6q22.33	03904	6857	602448	NP_005914	NM_005923	ENSP00000351908	cgc	0	0	0	Last Universal Common Ancestor	114	0	Cell cycle,Cellular metabolism,Cellular processes,Development,Regulation of intracellular processes and metabolism,Signal transduction	95	chr6	136878899	137113295	Amplified,CGC	
4193	MDM2	Mdm2 p53 binding protein homolog (mouse)	12q14.3-q15	01272	6973	164785	NP_002383	NM_032739;NM_006882;NM_001145340;NM_006878;NM_001145337;NM_006880;NM_006881;NM_001145339;NM_006879;NM_002392;NM_001145336	ENSP00000417281	cgc	1	0	0	Eukaryotes	405	7	Cell cycle,Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	27	chr12	69202986	69233626	Amplified,CGC,WES	colorectal,glioma,lung,other,sarcoma
4194	MDM4	Mdm4 p53 binding protein homolog (mouse)	1q32	04082	6974	602704	NP_001191100;NP_002384;NP_001191101	NM_001204171;NR_024171;NM_002393;NM_001204172	ENSP00000356150	cgc	1	0	0	Eukaryotes	75	7	Cell cycle,Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	8	chr1	204494647	204518807	Amplified,CGC	bladder,glioblastoma,retinoblastoma
55588	MED29	mediator complex subunit 29	19q13.2	13748	23074	612914	NP_060062	NM_017592	ENSP00000314343	cgc	0	0	0	Metazoans	110	0	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	-1	chr19	39882000	39888336	Amplified,CGC	
4233	MET	met proto-oncogene (hepatocyte growth factor receptor)	7q31	01280	7029	164860	NP_000236;NP_001120972	NM_000245;NM_001127500	ENSP00000380860	cgc	1	0	0	Last Universal Common Ancestor	76	17	Cell cycle,Cell motility and interactions,Cellular metabolism,Cellular processes,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Signal transduction	85	chr7	116339139	116436175	Amplified,CGC	head and neck squamous cell carcinoma,kidney
4286	MITF	microphthalmia-associated transcription factor	3p14.2-p14.1	01138	7105	156845	NP_000239;NP_937802;NP_937821;NP_001171897;NP_006713;NP_001171896;NP_937801;NP_937820	NM_000248;NM_198159;NM_198178;NM_001184968;NM_006722;NM_001184967;NM_198158;NM_198177	ENSP00000377884;ENSP00000327867;ENSP00000295600	cgc	1	0	0	Opisthokonts	4	5	Cell response to stimuli,Cellular metabolism,DNA/RNA metabolism and transcription,Development,Regulation of intracellular processes and metabolism,Regulation of transcription	69	chr3	69788749	70014396	Amplified,CGC	melanoma
92140	MTDH	metadherin	8q22.1	17459	29608	610323	NP_848927	NM_178812	ENSP00000338235	cgc	0	0	0	Metazoans	15	8	-1	108	chr8	98656735	98736895	Amplified,CGC,WGS	liver
4609	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	8q24.21	01818	7553	190080	NP_002458	NM_002467	ENSP00000367207	cgc	1	0	0	Eukaryotes	990	24	Cell cycle,Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	61	chr8	128750491	128753201	Amplified,CGC,WES,WGS	leukemia,lung,lymphoma
4610	MYCL1	v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)	1p34.2	01279	7555	164850	NP_001028253;NP_001028254;NP_005367	NM_001033081;NM_001033082;NM_005376	ENSP00000380494;ENSP00000361902	cgc	1	0	1	Opisthokonts	2	1	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	84	chr1	40363047	40367560	Amplified,CGC,WGS	liver,lung
4613	MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	2p24.3	01278	7559	164840	NP_005369	NM_005378	ENSP00000281043	cgc	1	0	0	Eukaryotes	23	12	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	11	chr2	16082187	16086216	Amplified,CGC	neuroblastoma
8202	NCOA3	nuclear receptor coactivator 3	20q12	03570	7670	601937	NP_006525;NP_001167559;NP_858045;NP_001167558	NM_006534;NM_001174088;NM_181659;NM_001174087	ENSP00000361065;ENSP00000361073	cgc	0	0	0	Eukaryotes	116	12	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	100	chr20	46250992	46281816	Amplified,CGC	
7080	NKX2-1	NK2 homeobox 1	14q13	02798	11825	600635	NP_001073136;NP_003308	NM_001079668;NM_003317	ENSP00000346879;ENSP00000429607	cgc	1	0	0	Eukaryotes	21	2	Cell cycle,Cell motility and interactions,Cellular metabolism,DNA/RNA metabolism and transcription,Development,Regulation of intracellular processes and metabolism,Regulation of transcription	22	chr14	36986486	36989334	Amplified,CGC,WES	lung
26257	NKX2-8	NK2 homeobox 8	14q13.3	04456	16364	603245	NP_055175	NM_014360	ENSP00000258829	cgc	0	0	0	Eukaryotes	0	0	Cell cycle,Cellular metabolism,DNA/RNA metabolism and transcription,Development,Regulation of intracellular processes and metabolism,Regulation of transcription	4	chr14	37050110	37051594	Amplified,CGC	
5058	PAK1	p21 protein (Cdc42/Rac)-activated kinase 1	11q13-q14	03995	8590	602590	NP_002567;NP_001122092	NM_002576;NM_001128620	ENSP00000348696	cgc	0	0	0	Last Universal Common Ancestor	113	6	Cell cycle,Cellular metabolism,Cellular processes,Regulation of intracellular processes and metabolism,Signal transduction	10	chr11	77034347	77103565	Amplified,CGC	
5083	PAX9	paired box 9	14q13.3	01336	8623	167416	NP_006185	NM_006194	ENSP00000384817	cgc	0	0	0	Metazoans	11	0	Cellular metabolism,DNA/RNA metabolism and transcription,Development,Regulation of intracellular processes and metabolism,Regulation of transcription	42	chr14	37132101	37145654	Amplified,CGC	
5290	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3q26.3	01382	8975	171834	NP_006209	NM_006218	-	cgc	1	0	0	Eukaryotes	65	2	Cellular metabolism,Cellular processes,Signal transduction	36	chr3	178916614	178952149	Amplified,CGC,HTMS,WES,WGS	breast,colorectal,colorectal (non-hypermutated),endometrium,gastric,glioblastoma,head and neck squamous cell carcinoma,lung,medulloblastoma,oligodendroglioma,ovarian,pancreas,prostate,sarcoma
8399	PLA2G10	phospholipase A2, group X	16p13.1-p12	04674	9029	603603	NP_003552	NM_003561	ENSP00000393847	cgc	0	0	0	Metazoans	3	1	Cellular metabolism	39	chr16	14766467	14784503	Amplified,CGC	
8493	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent, 1D	17q23.2	05482	9277	605100	NP_003611	NM_003620	-	cgc	0	0	0	Last Universal Common Ancestor	10	7	Cell cycle,Cellular metabolism,Cellular processes,Regulation of intracellular processes and metabolism	65	chr17	58677776	58740910	Amplified,CGC	
5584	PRKCI	protein kinase C, iota	3q26.3	02105	9404	600539	NP_002731	NM_002740	ENSP00000295797	cgc	0	0	1	Last Universal Common Ancestor	35	1	Cell cycle,Cell motility and interactions,Cellular metabolism,Cellular processes,Development,Signal transduction	103	chr3	169940458	170020912	Amplified,CGC,WGS	prostate
5753	PTK6	PTK6 protein tyrosine kinase 6	20q13.3	03594	9617	602004	NP_001243287;NP_005966	NM_001256358;NM_005975	ENSP00000217185	cgc	0	0	0	Last Universal Common Ancestor	5	0	Cellular metabolism,Cellular processes	5	chr20	62160892	62168667	Amplified,CGC	
51715	RAB23	RAB23, member RAS oncogene family	6p11	05850	14263	606144	NP_057361;NP_899050	NM_016277;NM_183227	ENSP00000320413	cgc	0	0	0	Last Universal Common Ancestor	3	9	Cellular metabolism,Cellular processes,Development,Regulation of intracellular processes and metabolism,Signal transduction	8	chr6	57055262	57075178	Amplified,CGC	
57111	RAB25	RAB25, member RAS oncogene family	1q22	06698	18238	612942	NP_065120	NM_020387	ENSP00000354376	cgc	0	0	0	Last Universal Common Ancestor	18	0	Cellular processes,Signal transduction	42	chr1	156035701	156040075	Amplified,CGC	
5966	REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	2p13-p12	01286	9954	164910	NP_002899	NM_002908	ENSP00000295025	cgc	1	0	0	Metazoans	70	1	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	50	chr2	61118814	61149667	Amplified,CGC	lymphoma
6198	RPS6KB1	ribosomal protein S6 kinase, 70kDa, polypeptide 1	17q23.1	10202	10436	608938	NP_003152	NM_003161	ENSP00000225577	cgc	0	0	1	Last Universal Common Ancestor	78	7	Cellular metabolism,Cellular processes,Signal transduction	45	chr17	57970546	58024146	Amplified,CGC	
8607	RUVBL1	RuvB-like 1 (E. coli)	3q21	09143	10474	603449	NP_003698	NM_003707	ENSP00000318297	cgc	0	0	0	Last Universal Common Ancestor	185	1	Cell cycle,Cellular metabolism,DNA/RNA metabolism and transcription,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Regulation of transcription	29	chr3	127800096	127842567	Amplified,CGC	
6464	SHC1	SHC (Src homology 2 domain containing) transforming protein 1	1q21	02780	10840	600560	NP_001123513;NP_001123512;NP_003020;NP_892113;NP_001189788	NM_001130041;NM_001130040;NM_003029;NM_183001;NM_001202859	ENSP00000401303;ENSP00000357435;ENSP00000357438;ENSP00000357430	cgc	0	0	1	Eukaryotes	295	8	Cell cycle,Cellular metabolism,Cellular processes,Regulation of intracellular processes and metabolism,Signal transduction	109	chr1	154936282	154943002	Amplified,CGC	
6469	SHH	sonic hedgehog	7q36	02838	10848	600725	NP_000184	NM_000193	-	cgc	0	0	0	Eukaryotes	0	1	Cell cycle,Cell motility and interactions,Cell response to stimuli,Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Development,Immune system response,Multicellular activities,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	7	chr7	155595597	155604816	Amplified,CGC	
6502	SKP2	S-phase kinase-associated protein 2 (p45)	5p13	03256	10901	601436	NP_001230049;NP_116026;NP_005974	NM_001243120;NM_032637;NM_005983	ENSP00000274255;ENSP00000274254	cgc	0	0	0	Eukaryotes	117	2	Cell cycle	53	chr5	36152871	36182130	Amplified,CGC,WES	glioblastoma
57154	SMURF1	SMAD specific E3 ubiquitin protein ligase 1	7q22.1	06902	16807	605568	NP_065162;NP_001186776;NP_851994	NM_020429;NM_001199847;NM_181349	ENSP00000354621;ENSP00000355326	cgc	0	0	1	Eukaryotes	126	0	Cellular metabolism,Cellular processes,Development,Regulation of intracellular processes and metabolism,Signal transduction	89	chr7	98628210	98741403	Amplified,CGC	
10948	STARD3	StAR-related lipid transfer (START) domain containing 3	17q11-q12	06132	17579	607048	NP_001159410;NP_001159409;NP_006795	NM_001165938;NM_001165937;NM_006804	-	cgc	0	0	0	Eukaryotes	0	0	Cellular metabolism,Cellular processes	48	chr17	37809785	37819158	Amplified,CGC	
10221	TRIB1	tribbles homolog 1 (Drosophila)	8q24.13	09863	16891	609461	NP_079471	NM_025195	ENSP00000312150	cgc	0	0	0	Last Universal Common Ancestor	23	5	Cell cycle,Cell motility and interactions,Cell response to stimuli,Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	90	chr8	126443145	126448710	Amplified,CGC	
54904	WHSC1L1	Wolf-Hirschhorn syndrome candidate 1-like 1	8p11.2	06155	12767	607083	NP_075447;NP_060248	NM_023034;NM_017778	ENSP00000313410;ENSP00000313983	cgc	1	0	0	Last Universal Common Ancestor	17	4	Cell cycle,Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	64	chr8	38133162	38205689	Amplified,CGC	leukemia
10413	YAP1	Yes-associated protein 1	11q13	09424	16262	606608	NP_001181973;NP_006097;NP_001181974;NP_001123617	NM_001195044;NM_006106;NM_001195045;NM_001130145	ENSP00000282441;ENSP00000445635;ENSP00000331023	cgc	0	0	1	Eukaryotes	20	5	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	26	chr11	101981580	102100668	Amplified,CGC	
8089	YEATS4	YEATS domain containing 4	12q13-q15	03666	24859	602116	NP_006521	NM_006530	ENSP00000247843	cgc	0	0	0	Last Universal Common Ancestor	32	0	Cell cycle,Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	33	chr12	69753753	69784093	Amplified,CGC	
7529	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	20q13.1	03184	12849	601289	NP_647539;NP_003395	NM_139323;NM_003404	ENSP00000361930;ENSP00000300161	cgc	0	0	13	Eukaryotes	321	0	Cell cycle,Cellular processes,Development,Regulation of intracellular processes and metabolism,Signal transduction	109	chr20	43530175	43535076	Amplified,CGC	
10971	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	2p25.1	00886	12854	609009	NP_006817	NM_006826	ENSP00000238081	cgc	0	0	10	Eukaryotes	104	3	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	109	chr2	9725418	9770581	Amplified,CGC	
